Segmento;Parcela;Riqueza;Abundancia
1;Restinga1;0;0
2;Restinga1;0;0
3;Restinga1;0;0
4;Restinga1;0;0
5;Restinga1;0;0
6;Restinga1;0;0
7;Restinga1;1;1
8;Restinga1;1;1
9;Restinga1;0;0
1;Restinga1;1;2
11;Restinga1;0;0
12;Restinga1;0;0
13;Restinga1;0;0
14;Restinga1;0;0
15;Restinga1;0;0
16;Restinga1;0;0
17;Restinga1;0;0
18;Restinga1;0;0
19;Restinga1;0;0
2;Restinga1;0;0
21;Restinga1;0;0
22;Restinga1;0;0
23;Restinga1;1;4
24;Restinga1;0;0
25;Restinga1;0;0
26;Restinga1;0;0
27;Restinga2;0;0
28;Restinga2;0;0
29;Restinga2;0;0
3;Restinga2;0;0
31;Restinga2;0;0
32;Restinga2;0;0
33;Restinga2;1;5
34;Restinga2;0;0
35;Restinga2;0;0
36;Restinga2;1;6
37;Restinga2;0;0
38;Restinga2;2;2
39;Restinga2;0;0
4;FlorestaTerrasBaixas;0;0
41;FlorestaTerrasBaixas;0;0
42;FlorestaTerrasBaixas;0;0
43;FlorestaTerrasBaixas;0;0
44;FlorestaTerrasBaixas;0;0
45;FlorestaTerrasBaixas;0;0
46;FlorestaTerrasBaixas;1;1
47;FlorestaTerrasBaixas;0;0
48;FlorestaTerrasBaixas;0;0
5;FlorestaTerrasBaixas;0;0
53;FlorestaSubmontana1;0;0
54;FlorestaSubmontana1;0;0
55;FlorestaSubmontana1;0;0
56;FlorestaSubmontana1;0;0
57;FlorestaSubmontana1;0;0
58;FlorestaSubmontana1;0;0
59;FlorestaSubmontana1;0;0
6;FlorestaSubmontana1;1;4
61;FlorestaSubmontana1;0;0
62;FlorestaSubmontana1;1;4
63;FlorestaSubmontana1;0;0
64;FlorestaSubmontana1;1;1
65;FlorestaSubmontana1;0;0
66;FlorestaSubmontana2;0;0
67;FlorestaSubmontana2;3;18
68;FlorestaSubmontana2;0;0
69;FlorestaSubmontana2;1;1
7;FlorestaSubmontana2;1;1
71;FlorestaSubmontana2;1;2
72;FlorestaSubmontana2;0;0
73;FlorestaSubmontana2;0;0
74;FlorestaSubmontana2;2;2
75;FlorestaSubmontana2;1;2
76;FlorestaSubmontana2;2;17
77;FlorestaSubmontana2;0;0
78;FlorestaSubmontana2;2;16
